Category: All categories

Day,shooting: (United States)
2019-01-01,17
2019-01-02,14
2019-01-03,13
2019-01-04,13
2019-01-05,19
2019-01-06,19
2019-01-07,13
2019-01-08,13
2019-01-09,13
2019-01-10,12
2019-01-11,17
2019-01-12,18
2019-01-13,17
2019-01-14,18
2019-01-15,13
2019-01-16,13
2019-01-17,12
2019-01-18,14
2019-01-19,14
2019-01-20,13
2019-01-21,11
2019-01-22,17
2019-01-23,15
2019-01-24,21
2019-01-25,20
2019-01-26,17
2019-01-27,17
2019-01-28,14
2019-01-29,22
2019-01-30,13
2019-01-31,11
2019-02-01,11
2019-02-02,12
2019-02-03,12
2019-02-04,12
2019-02-05,13
2019-02-06,13
2019-02-07,14
2019-02-08,15
2019-02-09,16
2019-02-10,15
2019-02-11,12
2019-02-12,12
2019-02-13,15
2019-02-14,20
2019-02-15,31
2019-02-16,44
2019-02-17,26
2019-02-18,20
2019-02-19,17
2019-02-20,12
2019-02-21,13
2019-02-22,13
2019-02-23,14
2019-02-24,15
2019-02-25,13
2019-02-26,13
2019-02-27,12
2019-02-28,12
2019-03-01,12
2019-03-02,13
2019-03-03,13
2019-03-04,11
2019-03-05,11
2019-03-06,11
2019-03-07,13
2019-03-08,13
2019-03-09,13
2019-03-10,13
2019-03-11,13
2019-03-12,11
2019-03-13,13
2019-03-14,13
2019-03-15,100
2019-03-16,58
2019-03-17,31
2019-03-18,28
2019-03-19,21
2019-03-20,16
2019-03-21,16
2019-03-22,16
2019-03-23,18
2019-03-24,19
2019-03-25,18
2019-03-26,14
2019-03-27,13
2019-03-28,16
2019-03-29,15
2019-03-30,15
2019-03-31,15
2019-04-01,19
2019-04-02,18
2019-04-03,14
2019-04-04,13
2019-04-05,13
2019-04-06,14
2019-04-07,15
2019-04-08,14
2019-04-09,13
2019-04-10,12
2019-04-11,13
2019-04-12,13
2019-04-13,14
2019-04-14,13
2019-04-15,12
2019-04-16,15
2019-04-17,23
2019-04-18,16
2019-04-19,14
2019-04-20,17
2019-04-21,16
2019-04-22,13
2019-04-23,12
2019-04-24,12
2019-04-25,11
2019-04-26,11
2019-04-27,22
2019-04-28,33
2019-04-29,22
2019-04-30,23
2019-05-01,44
2019-05-02,23
2019-05-03,16
2019-05-04,15
2019-05-05,16
2019-05-06,13
2019-05-07,37
2019-05-08,66
2019-05-09,38
2019-05-10,24
2019-05-11,20
2019-05-12,17
2019-05-13,14
2019-05-14,15
2019-05-15,14
2019-05-16,14
2019-05-17,14
2019-05-18,14
2019-05-19,14
2019-05-20,13
2019-05-21,12
2019-05-22,12
2019-05-23,12
2019-05-24,12
2019-05-25,13
2019-05-26,14
2019-05-27,13
2019-05-28,13
2019-05-29,11
2019-05-30,10
2019-05-31,24
2019-06-01,78
2019-06-02,35
2019-06-03,29
2019-06-04,26
2019-06-05,18
2019-06-06,14
2019-06-07,13
2019-06-08,14
2019-06-09,16
2019-06-10,17
2019-06-11,15
2019-06-12,14
2019-06-13,15
2019-06-14,14
2019-06-15,23
2019-06-16,20
2019-06-17,27
2019-06-18,26
2019-06-19,15
2019-06-20,16
2019-06-21,14
2019-06-22,14
2019-06-23,17
2019-06-24,15
2019-06-25,12
2019-06-26,14
2019-06-27,13
2019-06-28,12
2019-06-29,14
2019-06-30,14
2019-07-01,13
2019-07-02,13
2019-07-03,16
2019-07-04,15
2019-07-05,17
2019-07-06,14
2019-07-07,13
2019-07-08,12
2019-07-09,12
2019-07-10,12
2019-07-11,11
2019-07-12,11
2019-07-13,13
2019-07-14,13
2019-07-15,11
2019-07-16,10
2019-07-17,10
2019-07-18,11
2019-07-19,10
2019-07-20,12
2019-07-21,12
2019-07-22,11
2019-07-23,10
2019-07-24,10
2019-07-25,11
2019-07-26,11
2019-07-27,13
2019-07-28,16
2019-07-29,88
2019-07-30,32
2019-07-31,19
