Category: All categories

Week,shooting: (United States)
2018-01-07,11
2018-01-14,11
2018-01-21,22
2018-01-28,15
2018-02-04,11
2018-02-11,100
2018-02-18,41
2018-02-25,28
2018-03-04,16
2018-03-11,17
2018-03-18,31
2018-03-25,16
2018-04-01,29
2018-04-08,12
2018-04-15,14
2018-04-22,21
2018-04-29,13
2018-05-06,13
2018-05-13,43
2018-05-20,28
2018-05-27,14
2018-06-03,12
2018-06-10,12
2018-06-17,14
2018-06-24,20
2018-07-01,13
2018-07-08,10
2018-07-15,13
2018-07-22,16
2018-07-29,13
2018-08-05,13
2018-08-12,12
2018-08-19,11
2018-08-26,32
2018-09-02,16
2018-09-09,14
2018-09-16,17
2018-09-23,11
2018-09-30,14
2018-10-07,11
2018-10-14,13
2018-10-21,21
2018-10-28,30
2018-11-04,36
2018-11-11,15
2018-11-18,20
2018-11-25,13
2018-12-02,11
2018-12-09,12
2018-12-16,11
2018-12-23,13
2018-12-30,13
