Category: All categories

Week,shooting: (United States)
2016-01-03,11
2016-01-10,10
2016-01-17,10
2016-01-24,12
2016-01-31,10
2016-02-07,11
2016-02-14,10
2016-02-21,16
2016-02-28,11
2016-03-06,10
2016-03-13,10
2016-03-20,11
2016-03-27,12
2016-04-03,10
2016-04-10,10
2016-04-17,11
2016-04-24,11
2016-05-01,11
2016-05-08,9
2016-05-15,10
2016-05-22,10
2016-05-29,21
2016-06-05,12
2016-06-12,100
2016-06-19,17
2016-06-26,14
2016-07-03,71
2016-07-10,24
2016-07-17,28
2016-07-24,15
2016-07-31,13
2016-08-07,13
2016-08-14,12
2016-08-21,9
2016-08-28,11
2016-09-04,11
2016-09-11,10
2016-09-18,30
2016-09-25,25
2016-10-02,12
2016-10-09,10
2016-10-16,10
2016-10-23,9
2016-10-30,11
2016-11-06,11
2016-11-13,11
2016-11-20,11
2016-11-27,20
2016-12-04,11
2016-12-11,9
2016-12-18,10
2016-12-25,11
