Category: All categories

Week,shooting: (United States)
2014-01-05,34
2014-01-12,58
2014-01-19,81
2014-01-26,52
2014-02-02,39
2014-02-09,40
2014-02-16,40
2014-02-23,35
2014-03-02,34
2014-03-09,37
2014-03-16,36
2014-03-23,42
2014-03-30,76
2014-04-06,44
2014-04-13,46
2014-04-20,43
2014-04-27,42
2014-05-04,39
2014-05-11,40
2014-05-18,48
2014-05-25,100
2014-06-01,54
2014-06-08,76
2014-06-15,37
2014-06-22,37
2014-06-29,41
2014-07-06,42
2014-07-13,40
2014-07-20,38
2014-07-27,39
2014-08-03,38
2014-08-10,66
2014-08-17,75
2014-08-24,60
2014-08-31,39
2014-09-07,37
2014-09-14,42
2014-09-21,46
2014-09-28,43
2014-10-05,40
2014-10-12,36
2014-10-19,80
2014-10-26,55
2014-11-02,38
2014-11-09,39
2014-11-16,65
2014-11-23,80
2014-11-30,51
2014-12-07,42
2014-12-14,49
2014-12-21,58
2014-12-28,44
