monthyr_num,Total Sales
201401,908087.0
201402,1153864.0
201403,1158365.0
201404,930271.0
201405,814389.0
201406,747528.0
201407,753052.0
201408,914388.0
201409,951817.0
201410,1089878.0
201411,1256129.0
201412,1558584.0
201501,984498.0
201502,1180547.0
201503,1124840.0
201504,928252.0
201505,858365.0
201506,825111.0
201507,877775.0
201508,965185.0
201509,997133.0
201510,1123506.0
201511,1357845.0
201512,2162066.0
201601,1302140.0
201602,1380720.0
201603,1221518.0
201604,1046907.0
201605,871817.0
201606,1076592.0
201607,1143824.0
201608,1144148.0
201609,1080534.0
201610,1289101.0
201611,1584876.0
201612,1775692.0
201701,976301.0
201702,1199692.0
201703,1274219.0
201704,1051322.0
201705,926516.0
201706,947107.0
201707,845007.0
201708,950331.0
201709,939949.0
201710,1056548.0
201711,1379136.0
201712,1551768.0
201801,890938.0
201802,1169557.0
201803,1417513.0
201804,1004825.0
201805,841583.0
201806,824618.0
201807,759968.0
201808,889395.0
201809,853226.0
201810,928474.0
201811,1234665.0
201812,1429269.0
201901,923497.0
201902,1024432.0
201903,1237852.0
201904,931494.0
201905,845612.0
201906,856794.0
201907,762812.0
