Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
332732,1-May-15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3,N/A
333576,3-May-15,Ohio,Dayton,2801 Germantown Street,1,6,N/A
333584,3-May-15,Texas,Houston,San Jacinto at Elgin,0,6,N/A
333750,3-May-15,Wisconsin,Menasha,Friendship Trail,4,1,N/A
334033,3-May-15,Indiana,South Bend,1600 block of South William Street,0,4,N/A
334047,3-May-15,New York,Bronx,University Avenue,0,4,N/A
334681,4-May-15,New York,Buffalo,100 block of Roosevelt Avenue,1,3,N/A
335903,7-May-15,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4,N/A
336622,7-May-15,Michigan,Detroit,16000 block of Cathedral Street,0,4,N/A
337767,10-May-15,New Jersey,Newark,19th Avenue and South 16th Street,1,3,N/A
337855,10-May-15,Ohio,Cleveland,3600 block of Bosworth Rd,1,4,N/A
338034,10-May-15,New Jersey,Jersey City,Bostwick Avenue,0,4,N/A
339229,12-May-15,Arizona,Tucson,800 block of West Calle Medina Road,5,0,N/A
340280,12-May-15,Maryland,Capitol Heights,4700 block of Pard Rd,1,4,N/A
341162,16-May-15,New York,Rochester,188 Lewis Street,0,4,N/A
341232,16-May-15,Maryland,Baltimore,1700 block of North Broadway,0,5,N/A
341465,16-May-15,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5,N/A
341622,17-May-15,Texas,Waco,4671 S Jack Kultgen Fwy,9,18,N/A
342589,18-May-15,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4,N/A
343106,18-May-15,Missouri,Kinloch,8000 block of School Way,0,4,N/A
344302,20-May-15,Maryland,Baltimore,800 block of Linwood Avenue,1,3,N/A
345681,24-May-15,Massachusetts,Brockton,1002 Main St,0,5,N/A
345749,24-May-15,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7,N/A
346097,25-May-15,Illinois,Decatur,1816 N Water,1,4,N/A
346179,24-May-15,Missouri,Saint Louis,2700 block of Dayton,0,4,N/A
346202,23-May-15,California,Fresno,2400 block of South 9th Street,2,2,N/A
346320,24-May-15,Alabama,Montgomery,Smiley Court,1,3,N/A
346725,26-May-15,Louisiana,New Orleans,6700 block of Tara Lane,2,2,N/A
348606,28-May-15,Nebraska,Omaha,84th and Q,0,4,N/A
348620,28-May-15,Illinois,Chicago,6200 block of South Honore Street,0,5,N/A
348673,28-May-15,Pennsylvania,Chester,2700 block of West 3rd Street,1,3,N/A
349289,30-May-15,California,San Diego,4200 block of Market Street,0,4,N/A
349976,31-May-15,Connecticut,New Haven,849 Chapel Street,0,5,N/A
350021,31-May-15,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3,N/A
350163,31-May-15,Ohio,Cleveland,16209 block of Laverne Avenue,3,1,N/A
350182,31-May-15,Georgia,Conyers,4669 Bell Road SE,3,2,N/A
351936,3-Jun-15,New York,Wyandanch,Davidson Street,3,1,N/A
352779,5-Jun-15,Louisiana,New Orleans,2100 block of Governor Nicholls Street,1,3,N/A
353037,6-Jun-15,Illinois,Chicago,100 block of North Lorel Avenue,0,5,N/A
353382,5-Jun-15,Iowa,Davenport,900 block of West 3rd St,0,5,N/A
353536,6-Jun-15,New York,Buffalo,100 block of Warren Avenue,1,4,N/A
353854,7-Jun-15,Montana,Deer Lodge,Boulder Creek Road,5,0,N/A
355267,9-Jun-15,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3,N/A
355644,10-Jun-15,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3,N/A
355883,11-Jun-15,Texas,Houston,3400 block of Burkett,1,3,N/A
356065,11-Jun-15,Connecticut,Bridgeport,468 Trumbull Ave,1,8,N/A
357164,13-Jun-15,Ohio,Columbus,1623 E. Hudson Street,4,1,N/A
357220,12-Jun-15,Florida,Allapattah,24th Avenue and 36th Street,0,4,N/A
357590,13-Jun-15,Oklahoma,Oklahoma City,500 block of SE 69th St,0,4,N/A
357597,14-Jun-15,New Jersey,Camden,2800 block of Mitchell Street,1,3,N/A
357611,14-Jun-15,Missouri,Saint Louis,1400 block of North Market Street,0,4,N/A
357667,14-Jun-15,Oklahoma,Tulsa,1800 block of North Kingston,0,4,N/A
357701,13-Jun-15,New York,Bronx,2409 Creston Avenue,0,5,N/A
357732,13-Jun-15,Georgia,Fayetteville,600 block of Highway 279,1,4,N/A
357770,13-Jun-15,Georgia,Milledgeville,451 North Flynn Street,1,3,N/A
358117,15-Jun-15,New York,Brooklyn,673 Flatbush Avenue,0,4,N/A
359215,16-Jun-15,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4,N/A
359830,17-Jun-15,South Carolina,Charleston,110 Calhoun Street,9,0,N/A
360895,20-Jun-15,North Carolina,Morven,6066 Robinson Bridge Rd,0,4,N/A
361014,19-Jun-15,Rhode Island,Woonsocket,80 River Street,0,4,N/A
361198,20-Jun-15,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11,N/A
361212,20-Jun-15,Michigan,Detroit,Dexter and Webb,1,11,N/A
361708,21-Jun-15,Kentucky,Lexington,726 Georgetown St,1,4,N/A
361948,22-Jun-15,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7,N/A
363418,24-Jun-15,New York,New York (Manhattan),2110 Madison Ave,0,4,N/A
364789,27-Jun-15,Michigan,Detroit,Stringham Court,0,4,N/A
364872,27-Jun-15,Massachusetts,Taunton,Weir Street,1,3,N/A
365391,28-Jun-15,Michigan,Detroit,Gratiot and Loretto,0,5,N/A
365399,28-Jun-15,Delaware,Harrington,100 block of East St,0,6,N/A
366046,29-Jun-15,Florida,Opa Locka,13450 NW 30th Ave,0,4,N/A
366949,21-Jun-15,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4,N/A
367099,28-Jun-15,Illinois,Venice,1430 Broadway,0,6,N/A
367780,2-Jul-15,Indiana,Indianapolis,500 block of Lynn St,1,3,N/A
