Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2-Sep-19,North Carolina,Greensboro,5528 W Market St,2,2,N/A
2-Sep-19,Alabama,Elkmont,25019 Ridge Road,5,0,N/A
2-Sep-19,Illinois,Chicago,6200 block of S King Dr,0,4,N/A
1-Sep-19,North Carolina,Rocky Mount,521 Country Club Road,0,4,N/A
1-Sep-19,Ohio,Toledo,3257 Stickney Ave,0,4,N/A
1-Sep-19,Alabama,Valley,502 Boulevard,0,7,N/A
1-Sep-19,Connecticut,Hartford,80 Edgewood St,0,4,N/A
31-Aug-19,Illinois,Chicago,7100 block of S Paulina St,2,3,N/A
31-Aug-19,Pennsylvania,Philadelphia,4600 block of 4th St,2,2,N/A
31-Aug-19,North Carolina,Charlotte,10035 Dabney Dr,1,3,N/A
31-Aug-19,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,N/A
31-Aug-19,Texas,Odessa,8250 TX-191,8,23,N/A
31-Aug-19,Maryland,Baltimore,900 block of N Monroe St,0,4,N/A
31-Aug-19,Maryland,Frederick,600 block of N Market St,0,4,N/A
30-Aug-19,Maryland,Baltimore,1600 block of E 29th St,1,3,N/A
30-Aug-19,Alabama,Mobile,1621 Virginia St,0,6,N/A
29-Aug-19,Maryland,Baltimore,2500 block of E Monument St,1,3,N/A
25-Aug-19,Illinois,Chicago,8200 block of S Maryland Ave,1,3,N/A
25-Aug-19,New Mexico,Hobbs,1700 block of East Bond St,3,4,N/A
24-Aug-19,Massachusetts,Lynn,Warren Street,1,3,N/A
24-Aug-19,Maryland,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0,7,N/A
23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,N/A
23-Aug-19,Georgia,Dublin,200 Riverview Park Dr,0,4,N/A
23-Aug-19,Missouri,Saint Louis,1122 Union Blvd,1,3,N/A
22-Aug-19,South Carolina,Columbia,851 Bush River Rd,2,2,N/A
22-Aug-19,California,Los Angeles,300 block of West Fifth St,0,4,N/A
20-Aug-19,Georgia,Atlanta,111 James P Brawley Dr SW,0,4,N/A
18-Aug-19,Missouri,Kansas City,770 W 47th St,0,4,N/A
17-Aug-19,Texas,Houston,12500 block of Mylla St,0,6,N/A
15-Aug-19,Pennsylvania,Philadelphia,5800 block of N 15th St,0,5,N/A
15-Aug-19,Alabama,Montgomery,847 N University Dr,2,3,N/A
14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,N/A
13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,N/A
12-Aug-19,Mississippi,Greenwood,200 Young St,0,4,N/A
11-Aug-19,Illinois,Chicago,3500 block of W Lake St,0,6,N/A
10-Aug-19,Virginia,Richmond,6346 Midlothian Turnpike,0,4,N/A
10-Aug-19,California,San Francisco,1100 Fillmore St,0,4,N/A
9-Aug-19,Illinois,Chicago,7300 block of S Artesian Ave,0,4,N/A
7-Aug-19,Missouri,Saint Louis,4900 block of Plover Ave,2,2,N/A
5-Aug-19,New York,Brooklyn,216 Buffalo Ave,0,4,N/A
4-Aug-19,Illinois,Chicago,1800 S Kildare Ave,1,7,N/A
4-Aug-19,Tennessee,Memphis,443 E Shelby Dr,1,3,N/A
4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,N/A
4-Aug-19,Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,N/A
3-Aug-19,Texas,El Paso,7101 Gateway Blvd,22,24,N/A
2-Aug-19,Virginia,Suffolk,200 block of N Broad St,2,3,N/A
30-Jul-19,Ohio,Columbus,1280 E Long St,0,5,N/A
28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,N/A
28-Jul-19,Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,N/A
28-Jul-19,Wisconsin,Chippewa Falls (Lafayette),16964 54th Ave,6,2,N/A
28-Jul-19,District of Columbia,Washington,637 T St NW,0,4,N/A
28-Jul-19,Illinois,Chicago,3938 W Roosevelt Rd,0,4,N/A
27-Jul-19,Kansas,Wichita,505 N Rock Rd,1,3,N/A
27-Jul-19,New York,Brooklyn,1555 Linden Blvd,1,11,N/A
26-Jul-19,Washington,Kennewick,E 10th Ave,1,3,N/A
25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,N/A
21-Jul-19,Illinois,Chicago,3900 block of Roosevelt Rd,0,4,N/A
21-Jul-19,District of Columbia,Washington,2300 block of 15th St NE,0,4,N/A
20-Jul-19,Pennsylvania,Clairton,501 Waddell Ave,0,4,N/A
20-Jul-19,Maryland,Baltimore,2800 block of Boarman Ave,1,3,N/A
20-Jul-19,Illinois,Chicago,2401 N Lake Shore Dr,0,7,N/A
18-Jul-19,Illinois,Chicago,3427 W Fulton Blvd,1,3,N/A
17-Jul-19,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,N/A
16-Jul-19,Texas,San Antonio,6989 San Pedro Ave,0,4,N/A
15-Jul-19,Georgia,Atlanta,1572 Hardee St NE,0,4,N/A
14-Jul-19,Illinois,Chicago,4600 block of W Erie St,0,4,N/A
13-Jul-19,Illinois,Chicago,7900 block of S Loomis Blvd,1,4,N/A
13-Jul-19,Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,N/A
11-Jul-19,Texas,Houston,5901 Royal Palms St,0,4,N/A
8-Jul-19,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,N/A
7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,N/A
7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,N/A
7-Jul-19,Illinois,Chicago,5600 block of S Paulina St,0,4,N/A
7-Jul-19,Illinois,Chicago,600 block of W 61st Pl,0,4,N/A
7-Jul-19,New Mexico,Albuquerque,211 Gold Ave SW,0,4,N/A
6-Jul-19,California,San Jose,3036 Quinto Way,0,4,N/A
6-Jul-19,Missouri,Saint Louis,1921 Chambers Rd,5,0,N/A
5-Jul-19,Massachusetts,Boston,Maple St,0,6,N/A
5-Jul-19,Illinois,Chicago,1600 block of E 67th St,0,5,N/A
5-Jul-19,Nevada,Reno,600 block of Spokane St,1,3,N/A
5-Jul-19,New York,Brooklyn,Elton St and Belmont Ave,0,4,N/A
4-Jul-19,Illinois,Rockford,1100 block of Preston St,0,4,N/A
4-Jul-19,Illinois,Chicago,800 block of N Homan Ave,1,3,N/A
4-Jul-19,California,Los Angeles,1900 block of Adair St,0,4,N/A
4-Jul-19,California,Fresno,4700 block of E Hamilton Ave,1,3,N/A
3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,N/A
2-Jul-19,Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,N/A
1-Jul-19,Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,N/A
30-Jun-19,California,Oakland,3000 block of Brookdale Ave,0,4,N/A
30-Jun-19,California,Yucaipa,12700 block of California St,0,5,N/A
30-Jun-19,Texas,Dallas,3535 Munger Ave,2,2,N/A
30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,N/A
29-Jun-19,Connecticut,Hartford,Judson St and Martin St,0,4,N/A
29-Jun-19,Louisiana,Gray,2700 block of W Park Ave,0,4,N/A
29-Jun-19,Illinois,Chicago,2400 block of W Jackson Blvd,0,5,N/A
29-Jun-19,Louisiana,Baton Rouge,7132 Florida Blvd,0,7,N/A
28-Jun-19,New Jersey,Paterson,50 block of Jefferson St,0,4,N/A
28-Jun-19,Connecticut,Hamden,937 Choate Ave,0,5,N/A
28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,N/A
28-Jun-19,New Jersey,Jersey City,167 Armstrong Ave,0,4,N/A
28-Jun-19,Minnesota,Saint Paul,909 Desoto St,0,5,N/A
27-Jun-19,Georgia,Atlanta,600 block of Parkway Dr,0,7,N/A
26-Jun-19,Ohio,Akron,900 block of Rowe St,1,3,N/A
26-Jun-19,Wisconsin,Milwaukee,2800 block of N 34th St,0,4,N/A
23-Jun-19,California,San Jose,568 Habbitts Court,5,0,N/A
23-Jun-19,Indiana,South Bend,1150 E Mishawaka Ave,1,10,N/A
23-Jun-19,Ohio,Columbus,1767 Genessee Ave,0,5,N/A
23-Jun-19,California,La Jolla,7500 block of Draper Ave,1,3,N/A
23-Jun-19,South Carolina,Abbeville,1108 Cambridge St,3,1,N/A
22-Jun-19,Virginia,Hampton,1st St and E Pembroke Ave,0,4,N/A
22-Jun-19,Pennsylvania,Philadelphia,2400 block of Moore St,0,4,N/A
22-Jun-19,Maryland,Baltimore,800 block of N Port St,1,4,N/A
21-Jun-19,Michigan,Saginaw,1506 N Charles St,1,3,N/A
21-Jun-19,Illinois,Chicago,6300 block of S King Dr,0,4,N/A
21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,N/A
21-Jun-19,California,Richmond,700 block of 14th St,0,5,N/A
20-Jun-19,Pennsylvania,Allentown,343 Hamilton St,0,10,N/A
18-Jun-19,New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,N/A
17-Jun-19,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,N/A
17-Jun-19,Tennessee,Memphis,2872 Coach Dr,0,5,N/A
16-Jun-19,Pennsylvania,Philadelphia,2910 S 70th St,1,5,N/A
16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,N/A
16-Jun-19,Iowa,Des Moines,1200 block of Sampson St,0,6,N/A
15-Jun-19,Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,N/A
12-Jun-19,North Carolina,Charlotte,305 N Graham St,1,3,N/A
11-Jun-19,Colorado,Aurora,12500 block of E Kansas Pl,0,4,N/A
11-Jun-19,Georgia,Savannah,6900 Block of Damascus Rd,2,2,N/A
