Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
31-Dec-17,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,N/A
31-Dec-17,Illinois,Chicago,2335 Howard St,0,4,N/A
31-Dec-17,New Jersey,Long Branch,635 Wall St,4,0,N/A
27-Dec-17,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,N/A
26-Dec-17,Florida,Miami,NW 18th Ave and 86th Ter,0,5,N/A
24-Dec-17,Mississippi,Vicksburg,1111 Mulberry Street,0,5,N/A
24-Dec-17,Alabama,Troy,100 block of Chapman St,1,4,N/A
23-Dec-17,Louisiana,Eunice,100 block of City Avenue,1,3,N/A
23-Dec-17,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,N/A
21-Dec-17,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,N/A
21-Dec-17,Louisiana,Lafayette,1500 block of N University Avenue,0,4,N/A
16-Dec-17,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,N/A
15-Dec-17,California,Pacoima,13041 Jouett Street,0,5,N/A
13-Dec-17,Ohio,Columbus,200 block of E Barthman Ave,1,3,N/A
12-Dec-17,Kentucky,Louisville,17th and Gallagher Streets,0,4,N/A
12-Dec-17,Texas,Garland,1301 Rivercrest Ln,0,4,N/A
9-Dec-17,Massachusetts,Boston,Proctor St,0,4,N/A
6-Dec-17,Illinois,Chicago,4620 N Broadway,0,4,N/A
4-Dec-17,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,N/A
3-Dec-17,Tennessee,Memphis,656 Marshall Ave,1,3,N/A
2-Dec-17,Michigan,Detroit,5200 Woodward Avenue,0,4,N/A
30-Nov-17,Michigan,Detroit,11000 block of Gunston,1,4,N/A
24-Nov-17,Mississippi,Brookhaven,119 Martin Street,1,6,N/A
24-Nov-17,Ohio,Cleveland,11618 Buckeye Rd,1,5,N/A
18-Nov-17,Minnesota,Minneapolis,3600 block of Emerson Avenue North,0,4,N/A
17-Nov-17,Louisiana,New Iberia,900 Block of Mississippi St,0,4,N/A
16-Nov-17,Georgia,Columbus,1400 block of 15th Street,0,7,N/A
