Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
92194,1-Jan-14,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,N/A
92704,3-Jan-14,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,N/A
94514,5-Jan-14,Pennsylvania,Erie,829 Parade St,1,3,N/A
95146,11-Jan-14,Mississippi,Jackson,3430 W. Capitol Street,0,4,N/A
95500,12-Jan-14,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,N/A
95550,12-Jan-14,Alabama,Huntsville,University Drive,0,5,N/A
95579,12-Jan-14,Illinois,Elgin,300 block of North Street,0,5,N/A
96185,13-Jan-14,Michigan,Detroit,800 block of Calvert St,0,4,N/A
96792,14-Jan-14,California,Los Angeles,West 86th Street,0,4,N/A
97365,16-Jan-14,Utah,Spanish Fork,37 N. 630 West,5,0,N/A
97407,16-Jan-14,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,5,N/A
98836,21-Jan-14,New Jersey,Newark,Springfield Avenue ,2,3,N/A
100434,25-Jan-14,Illinois,Chicago,S Union Ave and W 51st St,1,4,N/A
100568,25-Jan-14,Florida,Belle Glade,600 block of Covenant Drive,0,4,N/A
101301,27-Jan-14,North Carolina,Rocky Mount,821 Word Plaza,0,4,N/A
103698,3-Feb-14,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,N/A
104218,5-Feb-14,Illinois,Chicago,6740 N Clark St,1,3,N/A
104721,7-Feb-14,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,N/A
104902,20-Jan-14,Virginia,Manassas,8509 Rixlew Ln,0,4,N/A
105010,6-Feb-14,Louisiana,New Orleans,4600 block of Downman Road,0,4,N/A
106243,12-Feb-14,California,Stockton,Constitution Park,1,3,N/A
106394,12-Feb-14,Indiana,Gary,2220 block of Broadway,0,5,N/A
106481,12-Feb-14,California,Oakland,37th and International ,1,3,N/A
107403,15-Feb-14,Nevada,Las Vegas,Sahara and Maryland ,0,5,N/A
107417,16-Feb-14,Florida,Orlando (Pine Hills),4500 block of Charlene Terrace,1,6,N/A
107433,16-Feb-14,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,N/A
107519,16-Feb-14,Texas,Dallas,2600 block of South Harwood Street,1,7,N/A
107673,16-Feb-14,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,N/A
108649,20-Feb-14,California,Alturas,300 W 1st St,4,2,N/A
108659,16-Feb-14,Texas,Fort Worth, 115 NW 25th St.,1,4,N/A
108691,20-Feb-14,Indiana,Indianapolis,3400 block of South Parker,4,0,N/A
109142,22-Feb-14,California,Wilmington,1200 block of W Papeete St,0,4,N/A
109957,25-Feb-14,Virginia,Glade Spring,Graceland Lane,5,1,N/A
111095,1-Mar-14,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,N/A
111109,1-Mar-14,Michigan,Detroit,7800 Gratiot Av.,0,4,N/A
112415,5-Mar-14,South Carolina,Pelzer,Law Street,3,2,N/A
113156,9-Mar-14,Ohio,Fremont,531 W State St,3,1,N/A
113214,8-Mar-14,Illinois,Chicago,4900 West Race Ave,0,6,N/A
113247,9-Mar-14,Texas,Austin, 4900 block of West Race Avenue,0,6,N/A
113255,8-Mar-14,California,Richmond,1600 block of First Street,1,3,N/A
113665,27-Jan-14,Washington,Seattle,2nd Avenue South and South Main Street,1,4,N/A
115012,14-Mar-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,N/A
117591,16-Mar-14,Texas,Beaumont,S 4th St,3,1,N/A
117642,21-Mar-14,South Carolina,North Charleston,7550 Dorchester Road,0,4,N/A
117818,23-Mar-14,Texas,Arlington,2700 Majesty Drive,1,3,N/A
117914,23-Mar-14,California,San Francisco,Turk and Taylor,0,7,N/A
120303,30-Mar-14,North Carolina,Charlotte,4300 Sunset Road,0,5,N/A
120621,30-Mar-14,Mississippi,Starkville,N/A,0,5,N/A
121031,2-Apr-14,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,N/A
122136,5-Apr-14,Illinois,Chicago,4300 W Wilcox Street,1,5,N/A
122612,5-Apr-14,Arizona,Phoenix,5400 block of W Palm Ln,1,3,N/A
122672,5-Apr-14,California,Fairfield,Orchid Street ,0,4,N/A
123008,7-Apr-14,Louisiana,New Orleans,500 block of South Alexander Street,0,4,N/A
123666,6-Apr-14,Massachusetts,Springfield,90 Worthington St.,0,4,N/A
123891,9-Apr-14,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,N/A
124131,9-Apr-14,Illinois,Rockford,300 North Sunset,0,4,N/A
124146,11-Apr-14,Indiana,Richmond,North 15th and H Streets,0,4,N/A
125028,12-Apr-14,Louisiana,New Orleans,2100 block of Pauger Street,1,3,N/A
125855,16-Mar-14,Georgia,Waynesboro,4960 Highway 80 West ,0,4,N/A
125863,6-Apr-14,Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,N/A
127045,20-Apr-14,Illinois,Montgomery,1300 block of Jackson St,0,6,N/A
127381,20-Apr-14,Florida,Tampa,2902 N. 32nd St.,2,2,N/A
127413,20-Apr-14,Illinois,Chicago,6600 South Michigan Ave,0,5,N/A
128871,25-Apr-14,Tennessee,Memphis,2000 Chelsea Avenue,2,3,N/A
129730,27-Apr-14,New York,Troy,Fourth Street,0,5,N/A
130232,29-Apr-14,Georgia,Kennesaw,1675 Airport Road,1,6,N/A
130933,30-Apr-14,Illinois,Chicago,7200 South Phillips Avenue,0,4,N/A
131697,4-May-14,Illinois,Chicago,500 West Erie Street,1,3,N/A
131998,3-May-14,Arkansas,Jonesboro,2201 Moore Rd,4,4,N/A
132897,4-May-14,Colorado,Wheat Ridge,12100 W 44th,0,4,N/A
134044,10-May-14,Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,N/A
134052,10-May-14,Georgia,Decatur,Shamrock Dr,2,3,N/A
134238,11-May-14,Tennessee,Memphis,2517 Shasta,0,7,N/A
134591,12-May-14,Illinois,Chicago,3400 West 24th Street,0,4,N/A
134823,13-May-14,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,N/A
135904,18-May-14,Ohio,Sandusky,1643 Cleveland Rd,0,7,N/A
136163,17-May-14,District of Columbia,Washington,2200 block of Adams Place NE,0,5,N/A
136567,17-May-14,California,Coachella,84000 block of Pedro Drive,1,3,N/A
138282,23-May-14,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,N/A
138370,23-May-14,California,Bellflower,9541 Flower Street,2,2,N/A
138567,24-May-14,Michigan,Detroit,Strathmoor Street,0,4,N/A
138645,24-May-14,South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,N/A
139281,25-May-14,Ohio,Toledo,2100 block of Joffre Avenue,1,3,N/A
140185,23-May-14,Louisiana,New Orleans,6200 block of Eads Street,1,7,N/A
141382,1-Jun-14,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,N/A
141792,1-Jun-14,California,Sacramento,6500 46th Street,0,4,N/A
142076,2-Jun-14,Illinois,Chicago,2660 E. 79th St,0,7,N/A
142123,21-May-14,Texas,Dallas,4500 block of Village Fair Drive,1,3,N/A
142818,3-Jun-14,Georgia,Atlanta,Auburn Avenue,1,4,N/A
142822,4-Jun-14,Illinois,Chicago,4900 West West End Avenue,1,3,N/A
143723,7-Jun-14,South Carolina,Moncks Corner,Tish Lane,1,5,N/A
143979,7-Jun-14,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,N/A
144565,8-Jun-14,Alabama,Opp,611 Hardin Street,1,4,N/A
146565,15-Jun-14,Indiana,Kokomo,5100 Clinton Drive,0,4,N/A
146586,15-Jun-14,Illinois,Park Forest,200 Berry Street,0,4,N/A
149706,13-Jun-14,California,Los Angeles,8600 block of South Figueroa Street,3,1,N/A
149954,21-Jun-14,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,N/A
150299,24-Jun-14,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,N/A
150344,21-Jun-14,Tennessee,Memphis,2119 East Alcy Road,0,5,N/A
151475,25-Jun-14,Massachusetts,Lowell,Midland Street,0,5,N/A
151659,26-Jun-14,Wisconsin,Milwaukee,24th and Locust,0,5,N/A
152468,29-Jun-14,Louisiana,New Orleans,700 block of Bourbon St,1,9,N/A
152693,29-Jun-14,California,Los Angeles,1100 block of North Vermont Avenue,1,5,N/A
152722,27-Jun-14,California,San Diego,1600 block of Cathy Street,1,3,N/A
152960,28-Jun-14,California,Antioch,5500 Cedar Point Way,0,7,N/A
153275,30-Jun-14,Kentucky,Lexington,Scottsdale Circle,1,3,N/A
153532,31-May-14,California,San Bernardino,800 block of West Victoria St,1,3,N/A
153578,28-Jun-14,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,N/A
153648,29-Jun-14,Missouri,Saint Louis,2800 block of Dayton,0,4,N/A
154136,22-Jun-14,California,Windsor,Windsor Avenue,1,3,N/A
154721,5-Jul-14,Indiana,Indianapolis,Broad Ripple Avenue,0,7,N/A
154803,5-Jul-14,Texas,Houston,1700 Almeda-Genoa,0,6,N/A
154834,5-Jul-14,Virginia,Norfolk,861 W. 36th Street,0,7,N/A
154844,4-Jul-14,Virginia,Norfolk,1722 Thurgood Street,0,5,N/A
154971,5-Jul-14,Oregon,Portland,333 SE 122ND Ave,1,4,N/A
155412,6-Jul-14,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,N/A
155755,6-Jul-14,New York,Buffalo,100 block of Erb Street,0,4,N/A
155943,7-Jul-14,California,San Bernardino,312  E Baseline Street ,1,4,N/A
156125,6-Jul-14,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,N/A
156245,9-Jun-14,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,N/A
156468,8-Jul-14,Rhode Island,Providence,35 March Street,0,5,N/A
156670,9-Jul-14,Texas,Spring,711 Leaflet Ln,6,1,N/A
156823,10-May-14,California,Sacramento,3031 Guadalajara Way,1,6,N/A
156828,14-Apr-14,District of Columbia,Washington,1909 19th St SE,0,4,N/A
156834,2-Jul-14,Pennsylvania,Chester,1400 block of West Congress Street,0,5,N/A
157013,20-Jun-14,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,N/A
157018,26-Jun-14,Michigan,Detroit,Grand St,2,2,N/A
157580,11-Jul-14,Illinois,Chicago,5200 West Quincy Street,1,3,N/A
157857,12-Jul-14,California,Pasadena,1700 block of Summit Avenue,3,2,N/A
158055,5-Jul-14,Illinois,Centreville,4700 Piggott Avenue,0,5,N/A
158306,13-Jul-14,Washington,Skyway,12600 Renton Avenue South ,0,5,N/A
158387,14-Jul-14,California,Sacramento,Fulton Avenue ,1,4,N/A
158589,13-Jul-14,Connecticut,Stamford,84 West Park Place,0,5,N/A
159291,13-Jul-14,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,N/A
160488,19-Jul-14,Illinois,Chicago,1300 North Mason Avenue,0,4,N/A
160998,20-Jul-14,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,N/A
161063,20-Jul-14,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,N/A
161302,21-Jul-14,New Jersey,Irvington,36 Welland Avenue,0,6,N/A
162008,21-Jul-14,Tennessee,Memphis,300 block of Foote Park Lane,0,4,N/A
162305,7-Jul-14,Kentucky,Stopover,KY 194E,0,4,N/A
162687,23-Jul-14,Pennsylvania,Braddock,700 block of Hickory St,0,4,N/A
163874,25-Jul-14,Illinois,Chicago,700 South California Avenue,1,6,N/A
163930,26-Jul-14,Georgia,Sylvester,Royal Street,0,8,N/A
164513,26-Jul-14,Maine,Saco,35 Water Street,5,0,N/A
165089,27-Jul-14,Missouri,Saint Louis,2000 block of East John Avenue,0,5,N/A
165856,28-Jul-14,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,N/A
166970,26-Jul-14,Arkansas,Pine Bluff,Third Ave and Redbud St,1,3,N/A
167649,1-Aug-14,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,N/A
167872,2-Aug-14,Texas,Dallas,5125 Wynell Street,3,1,N/A
168169,2-Aug-14,Massachusetts,New Bedford,Acushnet Avenue,0,7,N/A
168307,2-Aug-14,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,N/A
168551,3-Aug-14,Texas,Humble,3403 FM 1960,0,7,N/A
168786,3-Aug-14,Missouri,Saint Louis,5200 block of Thekla ,0,5,N/A
