Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured
60079,24-Sep-17,New York,Syracuse,1226 E Fayette St,0,4
60080,24-Sep-17,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3
60081,23-Sep-17,California,Bakersfield,818 Real Rd,1,4
60082,23-Sep-17,Illinois,Danville,Seminary St and Jackson St,0,5
60083,23-Sep-17,Connecticut,Hartford,1164 Albany Ave,2,2
60084,20-Sep-17,Indiana,Gary,4300 block of 23rd Ct,0,5
60085,17-Sep-17,Michigan,Detroit,5000 block of Stanton Street,1,3
60086,17-Sep-17,Virginia,Petersburg,300 Mistletoe St,1,4
60087,16-Sep-17,South Carolina,Columbia,920 Lady Street,0,8
60088,13-Sep-17,Tennessee,Memphis,1000 block of Morehead St,1,5
60089,13-Sep-17,Washington,Rockford,14626 S Jackson Rd,1,3
60090,13-Sep-17,Pennsylvania,York,400 block of S Duke St,0,4
60091,13-Sep-17,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4
60092,10-Sep-17,Texas,Plano,1712 West Spring Creek Parkway,9,1
60093,10-Sep-17,Louisiana,New Orleans,2101 N Claiborne Ave,1,3
60094,9-Sep-17,Alabama,Selma,Kings Bend Road,0,4
60095,6-Sep-17,Illinois,Chicago,2700 block of Madison,0,4
60096,4-Sep-17,Illinois,Bellwood,1000 block of Bellwood Ave,0,4
60097,3-Sep-17,California,Inglewood,10100 block of S Firmona Ave,2,3
60098,2-Sep-17,Kentucky,Louisville,8008 Watterson Trl,0,4
60099,2-Sep-17,Illinois,Chicago,8300 block of S Hermitage,1,3
60100,28-Aug-17,New Mexico,Clovis,701 N Main St,2,4
60101,27-Aug-17,California,Sacramento,7760 24th St,1,4
60102,27-Aug-17,Indiana,Evansville,1127 Chestnut St,1,3
60103,25-Aug-17,Florida,Gainesville,1600 NE 8th Ave,0,4
60104,24-Aug-17,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0
60105,22-Aug-17,Illinois,Chicago,300 block of N Central Ave,0,4
60106,21-Aug-17,New Jersey,Newark,Fabyan Place,0,4
60107,21-Aug-17,North Carolina,Whitakers,980 Fishing Creek Rd,4,0
60108,21-Aug-17,New Jersey,Newark,700 block of S 19th St,1,3
60109,21-Aug-17,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3
60110,21-Aug-17,Tennessee,Memphis,262 Decatur St,0,4
60111,20-Aug-17,New York,Brooklyn,100th St and Ave M,0,4
60112,20-Aug-17,Illinois,Chicago,11901 S Loomis St,2,5
60113,19-Aug-17,Ohio,Cleveland,11143 Superior Ave,1,4
60114,16-Aug-17,New York,Wyandanch,Merritt Ave and 15th St,0,4
60115,14-Aug-17,California,North Hollywood,Morrison St and Klump Ave,2,2
60116,13-Aug-17,Pennsylvania,Philadelphia,39th St and Melon St,0,5
60117,13-Aug-17,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4
60118,13-Aug-17,Virginia,Suffolk,8700 block of Quay Rd,0,4
60119,12-Aug-17,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3
60120,8-Aug-17,Illinois,Chicago,1 block of East 37th St,1,6
60121,6-Aug-17,New York,Bronx,Wickham Ave,0,6
60122,6-Aug-17,New York,Bronx,Unionport Rd,0,4
60123,6-Aug-17,California,Oakland,1000 block of 106th Avenue,0,7
60124,5-Aug-17,New Jersey,Lakewood,900 block of Brook Road,0,4
60125,5-Aug-17,South Carolina,Allendale,300 block of Ellis St,1,3
60126,5-Aug-17,Florida,Tallahassee,1939 W Tennessee St,1,3
60127,4-Aug-17,Montana,Lodge Grass,200 block of North Helen Street,3,2
60128,3-Aug-17,District of Columbia,Washington,3426 18th St NE,1,3
60129,2-Aug-17,Maryland,Baltimore,900 block of N Broadway,0,4
60130,1-Aug-17,Illinois,Chicago,800 block of N Monticello Ave,0,4
60131,1-Aug-17,Washington,Toppenish,8000 Block of Lateral C Rd,0,6
60132,1-Aug-17,California,Fresno,Mariposa St and A St,0,7
60133,31-Jul-17,Illinois,Decatur,Jasper St and Main St,0,4
60134,30-Jul-17,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5
60135,30-Jul-17,Texas,El Paso,1810 George Dieter Dr,1,3
60136,29-Jul-17,New York,Buffalo,200 block of Carl St,1,4
60137,29-Jul-17,North Carolina,Salisbury,115 W Fisher St,2,3
60138,28-Jul-17,Delaware,Wilmington,400 block of N Washington St,0,4
60139,27-Jul-17,Illinois,Chicago,2000 block of E 71st St,1,4
60140,26-Jul-17,North Carolina,High Point,2111 E. Green Drive,1,6
60141,25-Jul-17,Florida,Jacksonville,1040 Golfair Boulevard,1,3
60142,23-Jul-17,Illinois,Chicago,1500 block of East 82nd St,1,3
60143,23-Jul-17,Louisiana,Baton Rouge,10360 Ave H,0,4
60144,22-Jul-17,Ohio,Cincinnati,130 E Clifton Ave,0,5
60145,19-Jul-17,Virginia,Richmond,2300 block of Bethel St,0,5
60146,19-Jul-17,California,Los Angeles,Imperial Hwy and Broadway,1,3
60147,18-Jul-17,Wisconsin,Milwaukee,3000 block of N 39th St,0,4
60148,18-Jul-17,New Jersey,Trenton,Hewitt St and Division St,1,3
60149,18-Jul-17,Arizona,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4
60150,15-Jul-17,Pennsylvania,Philadelphia,21st and Fitzwater,1,3
60151,15-Jul-17,Illinois,Chicago,12200 block of S Throop St,0,4
60152,9-Jul-17,Virginia,Lawrenceville,500 block of Sturgeon Rd,0,7
60153,8-Jul-17,Illinois,Alton,700 block of Oakwood Ave,0,4
60154,8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8
60155,6-Jul-17,Mississippi,Meridian,Eighth Ave,0,4
60156,5-Jul-17,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4
60157,5-Jul-17,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2
60158,5-Jul-17,Maine,Madison,300 block of Russell Rd,4,1
60159,4-Jul-17,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4
60160,4-Jul-17,Virginia,Hampton,500 block of Patterson Ave,1,4
60161,4-Jul-17,North Carolina,Raleigh,105 E South St,1,3
60162,3-Jul-17,Alabama,Prattville,112 US 82,3,1
60163,3-Jul-17,Michigan,Pontiac,50 block of Thorpe St,1,3
60164,2-Jul-17,New Jersey,Jersey City,Wilkinson Avenue,0,4
60165,2-Jul-17,South Carolina,Greenwood,SC 72 Bypass,0,4
60166,1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25
60167,1-Jul-17,Illinois,Momence,2727 S 13000 Rd E,0,4
60168,1-Jul-17,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2
60169,1-Jul-17,California,Oakland,3200 Humboldt Ave,0,4
60170,30-Jun-17,New York,Bronx,1650 Grand Concourse,2,6
60171,27-Jun-17,Illinois,Chicago,200 block of S Lotus,0,5
60172,25-Jun-17,District of Columbia,Washington,5900 block of Southern Ave SE,0,4
60173,25-Jun-17,Missouri,Saint Louis,5000 block of Thekla Ave,1,3
60174,24-Jun-17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4
60175,24-Jun-17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5
60176,24-Jun-17,New Jersey,Willingboro,Pastoral Lane,0,4
60177,22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6
60178,18-Jun-17,Missouri,Saint Louis,1900 block of N 14th St,3,2
60179,18-Jun-17,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4
60180,18-Jun-17,Illinois,Chicago,3300 block of W Crystal St,0,4
60181,18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7
60182,17-Jun-17,Illinois,Chicago,1 block of N Latrobe,0,4
60183,17-Jun-17,Ohio,Columbus,6252 Busch Blvd,1,4
60184,15-Jun-17,Virginia,Richmond,4053 Old Brook Road,1,3
60185,15-Jun-17,New Mexico,La Madera,491 NM 111,5,0
60186,14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,1,5
